"""The calmodulin regulator protein, PEP-19, sensitizes ATP-induced Ca2+ release.",calmodulin: protein; PEP-19: protein; ATP: molecule; Ca2+: ion
"Glucocorticoid signaling plays a critical role in regulating energy metabolism. Emerging data implicate environmental endocrine-disrupting chemicals as contributors to the obesity and diabetes epidemics. Previous studies have shown that the phenylsulfamide fungicide tolylfluanid (TF) augments glucocorticoid receptor (GR)-dependent luciferase expression in 3T3-L1 preadipocytes while modulating insulin action in primary murine and human adipocytes. Studies were performed to interrogate glucocorticoid signaling in primary adipocytes exposed to TF. TF mimicked the gene transcription profile of the murine glucocorticoid corticosterone (Cort). Cellular fractionation assays demonstrated that TF treatment promoted the activating serine phosphorylation of GR, augmenting its cytoplasmic-to-nuclear translocation as well as its enrichment at glucocorticoid response elements on the glucocorticoid-induced leucine zipper gene promoter. After acute treatment, Cort or TF promoted insulin receptor substrate-1 (IRS-1) gene and protein expression. Either treatment also enriched GR binding at an identified glucocorticoid response element in the IRS-1 gene. TF or Cort each increased insulin-stimulated lipogenesis, an effect resulting from increased lipogenic gene expression and enhanced insulin-stimulated dephosphorylation of acetyl-coenzyme A carboxylase. The augmentation of insulin-stimulated lipogenesis was mediated through a specific enhancement of Akt phosphorylation at T308. These findings support modulation of IRS-1 levels as a mechanism for glucocorticoid-mediated changes in insulin action in primary adipocytes. Albeit with less affinity than Cort, in silico analysis suggests that TF can interact with the ligand binding pocket of GR. Collectively, these studies identify TF as a structurally unique environmental glucocorticoid. Glucocorticoid signaling may thus represent a novel pathway by which environmental toxicants promote the development of metabolic diseases.""",Glucocorticoid: chemical compound; signaling: biological process; energy: physical quantity; metabolism: biological process; data: none; chemicals: chemical compound; obesity: medical condition; diabetes: medical condition; epidemics: medical event; studies: research activity; phenylsulfamide: chemical compound; fungicide: chemical compound; tolylfluanid: chemical compound; TF: chemical compound; glucocorticoidreceptor: none; GR: protein; luciferase: enzyme; expression: biological process; 3T3-L1: cell line; preadipocytes: cell type; insulin: hormone; action: none; murine: organism descriptor; adipocytes: cell type; Cort: hormone; assays: research activity; serine: amino acid; phosphorylation: biochemical process; translocation: biological process; elements: none; leucine: amino acid; zipper: none; promoter: genetic element; treatment: medical procedure; receptor: protein; substrate-1: protein; IRS-1: protein; protein: biomolecule; binding: biochemical process; element: none; lipogenesis: biological process; gene: genetic element; dephosphorylation: biochemical process; acetyl-coenzymeAcarboxylase: none; augmentation: none; Akt: protein; phosphorylation: biochemical process; T308: amino acid residue; levels: none; mechanism: none; changes: none; action: none; affinity: none; analysis: research activity; pocket: none; toxicants: chemical compound; development: biological process; diseases: medical condition
"""Molecular determinants of inactivation and dofetilide block in ether a-go-go (EAG) channels and EAG-related K(+) channels.",MolecularDeterminants: scientific concept; inactivation: biological process; dofetilide: pharmaceutical drug; block: biological process; etherAGoGo: protein channel; EAG: protein channel; channels: biological structure; EAGRelatedKChannels: protein channel
"The major subunit of the cardiac delayed rectifier current I(Kr) is encoded by the human ether a-go-go related gene (HERG). HERG/I(Kr) channels are blocked selectively by class III antiarrhythmic methanesulfonanilide drugs such as dofetilide. The binding site for methanesulfonanilides is believed to be similar for nonantiarrhythmic drugs such as antihistamines, antibiotics, and antipsychotics. To gain further insight into the binding site, we examined the minimal structural changes necessary to transform low-affinity binding of dofetilide by the related bovine ether a-go-go channel bEAG to high-affinity binding of HERG. Previously, it was shown that high-affinity binding in HERG required intact C-type inactivation; the bovine ether a-go-go K(+) channel (bEAG), unlike HERG, is noninactivating. Therefore, we introduced C-type inactivation into noninactivating bEAG using site-directed mutagenesis. Two point mutations in the pore region, T432S and A443S, were sufficient to produce C-type inactivation. Low concentrations of dofetilide produced block of bEAG T432S/A443S; unlike HERG, block was almost irreversible. Substitution of an additional amino acid in transmembrane domain S6 made the block reversible. Dofetilide blocked the triply mutated bEAG T432S/A443S/A453S with an IC(50) value of 1.1 microM. The blocking potency was 30-fold greater than bEAG WT and about one third that of HERG WT. We conclude that high affinity methanesulfonanilide binding to HERG channels is strongly dependent on C-type inactivation.""",cardiac: biological term; delayedrectifiercurrent: biological process; IKr: biological term; humanetheragogo: gene; HERG: gene; HERGIKr: gene channel; channels: biological structure; classIIIantiarrhythmic: drug category; methanesulfonanilidedrugs: drug category; dofetilide: drug; methanesulfonanilides: chemical compound; nonantiarrhythmicdrugs: drug category; antihistamines: drug category; antibiotics: drug category; antipsychotics: drug category; bindingsite: biological structure; structuralchanges: biological process; lowaffinitybinding: biological process; bovineetheragogo: gene; bEAG: gene channel; highaffinitybinding: biological process; Ctypeinactivation: biological process; bovineetheragogochannel: gene channel; bEAG: gene channel; sitedirectedmutagenesis: scientific technique; pointmutations: genetic alteration; poreregion: biological structure; T432S: genetic mutation; A443S: genetic mutation; concentrations: scientific term; block: biological process; transmembranedomain: biological structure; S6: protein domain; IC50value: scientific term; blockingpotency: scientific term; bEAGWT: gene variant; HERGWT: gene variant; methanesulfonanilidebinding: biological process; HERGchannels: gene channel
"""Cerebral D2 and 5-HT2 receptor occupancy in Schizophrenic patients treated with olanzapine or clozapine.",CerebralD2: receptor; 5-HT2: receptor; Schizophrenic: medical condition; olanzapine: medication; clozapine: medication
"We report the results of a double-blind, randomized prospective trial on D2 and 5-HT2 receptor occupancy and the clinical effects of olanzapine versus clozapine in a sample of neuroleptic-refractory schizophrenic patients. Receptor occupancy was evaluated in different cortical areas and in basal ganglia using [18F] fluoro-ethyl-spiperone ([18F] FESP) and positron emission tomography (PET). A total of 15 neuroleptic-free patients completed the study undergoing a baseline and a post-treatment PET scan (olanzapine, nine patients, one female; clozapine, six patients, three female) 8 weeks after starting treatment. PET data were analysed both by regions of interest and on a voxel-by-voxel basis using Statistical Parametric Mapping (SPM96). Olanzapine and clozapine induced a similar and significant inhibition of [18F] FESP binding index in the cortex. In the basal ganglia, receptor occupancy was significantly higher with olanzapine than with clozapine (p=0.0018). By contrast, no differences in receptor occupancy were detected at the level of the pituitary gland. Clinical outcomes, in particular a full extra pyramidal tolerability, were similar. In this sample of neuroleptic-refractory schizophrenic patients, olanzapine and clozapine showed a different pattern of occupancy of D2-like receptor despite a common lack of extrapyramidal side-effects.""",D2: receptor type; 5-HT2: receptor type; olanzapine: medication; clozapine: medication; neuroleptic-refractory: medical condition; schizophrenic: medical condition; patients: demographic group; receptor: biological component; occupancy: measurement; cortical: anatomical region; areas: none; basal: anatomical region; ganglia: anatomical region; [18F]fluoro-ethyl-spiperone: radioligand; [18F]FESP: radioligand; positron: particle type; emission: process; tomography: imaging technique; PET: imaging technique; StatisticalParametricMapping: analytical method; SPM96: software; cortex: anatomical region; pituitary: anatomical region; gland: anatomical structure; outcomes: result type; tolerability: medical assessment; side-effects: medical assessment
"""A case of therapy-related acute myeloblastic leukemia with t(16;21)(q24;q22) after chemotherapy with DNA-topoisomerase II inhibitors, etoposide and mitoxantrone, and the alkylating agent, cyclophosphamide.",therapy-related: medical condition; acute: medical condition; myeloblastic: medical condition; leukemia: medical condition; t()(): genetic anomaly; chemotherapy: medical treatment; DNA-topoisomeraseIIinhibitors: pharmaceutical category; etoposide: medication; mitoxantrone: medication; alkylatingagent: pharmaceutical category; cyclophosphamide: medication
"A 59-year-old female suffering from malignant lymphoma developed therapy-related acute myeloblastic leukemia (t-AML) after chemotherapy consisting of treatment with DNA-topoisomerase II inhibitors, etoposide and mitoxantrone, and an alkylating agent, cyclophosphamide. The cumulative dose of etoposide administration was 5500 mg; 1500 mg given intravenously and 4000 mg orally. One year later, she suddenly developed AML of FAB M2. Cytogenetic analysis of bone marrow cells revealed deletion of 7q and a rare translocation, t(16;21)(q24;q22). Southern blot analysis of bone marrow cells did not detect rearrangement of the AML1 gene, however, fluorescence in situ hybridization (FISH) analysis of bone marrow cells at interphase and metaphase revealed a translocational splitting between chromosome 21 involving AML1 gene and chromosome 16. These results suggest that the breakpoint is not located in the breakpoint cluster region for t(8;21). The patient was treated with chemotherapy and entered complete remission.""",malignantlymphoma: medical condition; therapy-relatedacutemyeloblasticleukemia: medical condition; t-AML: medical condition; DNA-topoisomeraseIIinhibitors: pharmaceutical agent; etoposide: pharmaceutical agent; mitoxantrone: pharmaceutical agent; cyclophosphamide: pharmaceutical agent; AML: medical condition; FABM2: classification system; cytogeneticanalysis: diagnostic procedure; bonemarrowcells: biological material; deletionof7q: genetic abnormality; translocation: genetic abnormality; t()(): none; Southernblotanalysis: diagnostic procedure; AML1gene: gene; fluorescenceinsituhybridization: diagnostic procedure; FISHanalysis: diagnostic procedure; interphase: cell cycle phase; metaphase: cell cycle phase; chromosome21: chromosome; chromosome16: chromosome; breakpointclusterregion: genetic region; t(): none; chemotherapy: treatment method; completeremission: medical outcome
"""Substrates of IAP ubiquitin ligases identified with a designed orthogonal E3 ligase, the NEDDylator.",IAP: protein family; ubiquitin: protein; ligases: enzyme class; E3: enzyme class; NEDDylator: engineered protein
"Inhibitors of Apoptosis Protein (IAPs) are guardian ubiquitin ligases that keep classic proapoptotic proteins in check. Systematic identification of additional IAP substrates is challenged by the heterogeneity and sheer number of ubiquitinated proteins (>5,000). Here we report a powerful catalytic tagging tool, the NEDDylator, which fuses a NEDD8 E2-conjugating enzyme, Ubc12, to the ubiquitin ligase, XIAP or cIAP1. This permits transfer of the rare ubiquitin homolog NEDD8 to the ubiquitin E3 substrates, allowing them to be efficiently purified for LC-MS/MS identification. We have identified >50 potential IAP substrates of both cytosolic and mitochondrial origin that bear hallmark N-terminal IAP binding motifs. These substrates include the recently discovered protein phosphatase PGAM5, which we show is proteolytically processed, accumulates in cytosol during apoptosis, and sensitizes cells to death. These studies reveal mechanisms and antagonistic partners for specific IAPs, and provide a powerful technology for labeling binding partners in transient protein-protein complexes.""",InhibitorsofApoptosisProtein: protein family; IAPs: protein family; ubiquitin: protein; ligases: enzyme; proapoptotic: protein type; proteins: biomolecule; substrates: biomolecule; NEDDylator: tool; NEDD8: protein homolog; E2-conjugating: enzyme type; enzyme: biomolecule; Ubc12: enzyme; XIAP: protein; cIAP1: protein; homolog: protein type; E3: enzyme type; LC-MS/MS: analytical technique; identification: process; cytosolic: cellular location; mitochondrial: cellular location; motifs: structural feature; phosphatase: enzyme; PGAM5: protein; cytosol: cellular location; apoptosis: biological process; cells: biological unit; death: biological process; mechanisms: biological process; partners: none; technology: tool; complexes: molecular structure
"""Initial human experience with MK-462 (rizatriptan): a novel 5-HT1D agonist.",MK-462: pharmaceutical compound; rizatriptan: pharmaceutical compound; 5-HT1D: receptor type
"AIMS: We evaluated the pharmacokinetics and pharmacodynamics of oral MK-462 in comparison with oral sumatriptan in healthy male volunteers. METHODS: Sixteen healthy male volunteers were studied in a rising, single dose, alternating panel design with eight subjects per panel. Matching placebo was administered to two of eight study subjects at each dose level of MK-462 in a randomized, double-blind fashion. RESULTS: MK-462 was rapidly absorbed with a median tmax of 1.3 h (range 1-3 h) vs a tmax for sumatriptan of 2.5 h (range 1-4 h, P < 0.001). Administration of either MK-462 or sumatriptan produced maximal mean elevations of 5-10 mmHg in systolic and diastolic blood pressures without effect on heart rate; the changes occurred sooner following MK-462, consistent with more rapid absorption. Both MK-462 and sumatriptan provoked mild increases in serum growth hormone without any effect on serum prolactin concentrations. The most commonly reported symptom following MK-462 was drowsiness. CONCLUSIONS: These results indicate that the novel 5-HT1D agonist, MK-462, is rapidly absorbed following oral administration and warrants further investigation of its utility in the treatment of acute migraine.""",MK-462: pharmaceutical compound; sumatriptan: pharmaceutical compound; tmax: pharmacokinetic parameter; systolic: physiological measurement; diastolic: physiological measurement; blood: biological substance; pressures: physiological measurement; heart: biological organ; rate: physiological measurement; serum: biological substance; growth: biological process; hormone: biological substance; serum: biological substance; prolactin: biological substance; concentrations: physiological measurement; symptom: medical term; drowsiness: medical symptom; 5-HT1D: receptor type; agonist: pharmacological agent; migraine: medical condition
"""Protective effect of ganodermanondiol isolated from the Lingzhi mushroom against tert-butyl hydroperoxide-induced hepatotoxicity through Nrf2-mediated antioxidant enzymes.",ganodermanondiol: chemical compound; Lingzhi: medicinal mushroom; tert-butylhydroperoxide: chemical compound; hepatotoxicity: medical condition; Nrf2: protein; antioxidant: biochemical function; enzymes: biological molecules
"Ganodermanondiol, a biologically active compound, was isolated from the Lingzhi mushroom (Ganoderma lucidum). The present study examined the protective effects of ganodermanondiol against tert-butyl hydroperoxide (t-BHP)-induced hepatotoxicity. Ganodermanondiol protected human liver-derived HepG2 cells through nuclear factor-E2-related factor 2 (Nrf2) pathway-dependent heme oxygenase-1 expressions. Moreover, ganodermanondiol increased cellular glutathione levels and the expression of the glutamine-cysteine ligase gene in a dose-dependent manner. Furthermore, ganodermanondiol exposure enhanced the phosphorylation of adenosine monophosphate-activated protein kinase (AMPK) and its upstream kinase activators, LKB1 and Ca(2+)/calmodulin-dependent protein kinase-II (CaMKII). This study indicates that ganodermanondiol exhibits potent cytoprotective effects on t-BHP-induced hepatotoxicity in human liver-derived HepG2 cells, presumably through Nrf2-mediated antioxidant enzymes and AMPK.""",Ganodermanondiol: chemical compound; Lingzhi: biological organism; GanodermaLucidum: biological organism; tert-butylhydroperoxide: chemical compound; t-BHP: chemical compound; hepatotoxicity: medical condition; HepG2: cell line; nuclearfactor-E2-relatedfactor2: protein; Nrf2: protein; hemeoxygenase-1: enzyme; glutathione: chemical compound; glutamine-cysteineligase: enzyme; adenosinemonophosphate-activatedproteinkinase: enzyme; AMPK: enzyme; LKB1: protein; Ca()/calmodulin-dependentproteinkinase-II: enzyme; CaMKII: enzyme
"""Structure-based design, synthesis and evaluation of novel anthra[1,2-d]imidazole-6,11-dione derivatives as telomerase inhibitors and potential for cancer polypharmacology.","Structure-baseddesign: none; synthesis: scientific process; evaluation: scientific process; anthra[1,2-d]imidazole-6,11-dionederivatives: none; telomeraseinhibitors: none; cancerpolypharmacology: none"
