The Collections reverse() method can reverse the elements in a Java List.,"[""('method', 'collaboration', 'interface'): (collections.reverse(), reverse the elements in, list)""]"
"Here is an example of creating a ThreadLocal using its withInitial() static factory method, passing a simple Supplier implementation as parameter:","[""('class', 'creation', 'method'): (threadlocal, creating, withinitial)"", ""('class', 'collaboration', 'interface'): (threadlocal, using, supplier)""]"
Notice how the format() method calls the getThreadLocalSimpleDateFormat() method to obtain a Java SimpleDatFormat instance.,"[""('method', 'collaboration', 'method'): (format, calls the method, getthreadlocalsimpledateformat)"", ""('method', 'collaboration', 'class'): (getthreadlocalsimpledateformat, obtain an instance of, simpledateformat)""]"
"The Counter class could have been written like this instead, using a Lock instead of a synchronized block:",[]
"While isLocked is true, the thread calling lock() is parked waiting in the wait() call.","[""('method', 'dependency', 'method'): (lock(), requires, wait())""]"
"When the thread is done with the code in the critical section (the code between lock() and unlock()), the thread calls unlock().","[""('method', 'dependency', 'class'): (lock(), requirement, critical section)"", ""('method', 'dependency', 'class'): (unlock(), requirement, critical section)"", ""('method', 'collaboration', 'method'): (lock(), use, unlock())""]"
"Otherwise, a single call to unlock() will unlock the lock, even if the lock has been locked multiple times.",[]
"That you would not call wait() and notify() on an internal monitor object, but rather on the This is probably true.","[""('method', 'collaboration', 'method'): (wait(), use and notify, notify())""]"
This is how such exclusive access could look using a synchronized block in Java: public class SynchronizedCounter { long count = 0; public void inc() { synchronized(this) { count++; } } public long count() { synchronized(this) { return this.count; } } } Notice how the inc() and count() methods both contain a synchronized block.,"[""('class', 'containment', 'method'): (synchronizedcounter, contain, inc)"", ""('class', 'containment', 'method'): (synchronizedcounter, contain, count)""]"
"import java.util.concurrent.atomic.AtomicBoolean; import java.util.concurrent.atomic.AtomicStampedReference; public class NonblockingTemplate { public static class IntendedModification { public AtomicBoolean completed = new AtomicBoolean(false); } private AtomicStampedReference<IntendedModification> ongoingMod = new AtomicStampedReference<IntendedModification>(null, 0); //declare the state of the data structure here.","[""('class', 'containment', 'class'): (nonblockingtemplate, includes, intendedmodification)"", ""('class', 'creation', 'class'): (nonblockingtemplate, initializes, atomicstampedreference)"", ""('class', 'creation', 'class'): (intendedmodification, instantiates, atomicboolean)""]"
Here is how the lockRead() and unlockRead() methods looks after that change:,"[""('method', 'collaboration', 'method'): (lockread(), use, unlockread())""]"
Here is how the lockWrite() and unlockWrite() methods look after that change:,"[""('method', 'collaboration', 'method'): (lockwrite(), methods look after, unlockwrite())""]"
"You can read more about it in the java.util.concurrent.Semaphore text, in my java.util.concurrent tutorial.","[""('package', 'containment', 'class'): (java.util.concurrent, includes, java.util.concurrent.semaphore)""]"
The take() method sends a signal which is stored internally in the Semaphore.,"[""('method', 'collaboration', 'class'): (take(), sends a signal, semaphore)""]"
"That way the signal is not missed, even if doNotify() is called before doWait().","[""('method', 'dependency', 'method'): (donotify, precedes, dowait)""]"
"If you look at the Synchronizer class above and look into this Lock implementation you will notice that threads are now blocked trying to access the lock() method, if more than one thread calls lock() simultanously.","[""('class', 'implementation', 'method'): (synchronizer, blocked trying to access, lock())""]"
"The thread calling unlock() will take the top QueueObject in the queue and call doNotify() on it, to awaken the thread waiting on that object.","[""('method', 'collaboration', 'method'): (unlock(), take the top queueobject in the queue and call, donotify())""]"
"The queueObject.doWait() call is placed outside the synchronized(this) block to avoid nested monitor lockout, so another thread can actually call unlock() when no thread is executing inside the synchronized(this) block in lock() method.",[]
"Below here is the PoolThreadRunnable class which implements the Runnable interface, so it can be executed by a Java thread:",[]
"Notice how the add() method returns a new ImmutableValue instance with the result of the add operation, rather than adding the value to itself.","[""('method', 'creation', 'class'): (add(), returns, immutablevalue)""]"
"The class java.lang.Object defines three methods, wait(), notify(), and notifyAll(), to facilitate this.","[""('class', 'collaboration', 'method'): (java.lang.object, defines methods, wait())"", ""('class', 'collaboration', 'method'): (java.lang.object, defines methods, notify())"", ""('class', 'collaboration', 'method'): (java.lang.object, defines methods, notifyall())""]"
"In other words, the calling thread must call wait() or notify() from inside a synchronized block.","[""('method', 'collaboration', 'method'): (wait(), use_or_provision_of_methods, notify())""]"
The methods notify() and notifyAll() do not save the method calls to them in case no threads are waiting when they are called.,"[""('method', 'collaboration', 'method'): (notify(), provision, notifyall())""]"
"If the doNotify() method had called notifyAll() instead of notify(), all waiting threads had been awakened and checked for signals in turn.","[""('method', 'replacement', 'method'): (notifyall, substitute, notify)""]"
"The other of C and D would go back to waiting, because the thread discovering the signal clears it on the way out of doWait().",[]
"The method compareAndSet() allows you to compare the current value of the AtomicBoolean to an expected value, and if current value is equal to the expected value, a new value can be set on the AtomicBoolean.","[""('method', 'collaboration', 'class'): (compareandset, compare the current value and set a new value, atomicboolean)""]"
"The AtomicInteger class provides you with a int variable which can be read and written atomically, and which also contains advanced atomic operations like compareAndSet().","[""('class', 'collaboration', 'method'): (atomicinteger, provides, compareandset())""]"
You can get the value of an AtomicInteger instance via the get() method.,[]
Calling addAndGet() is also an atomic operation (like all operations on the AtomicIntegerArray).,"[""('method', 'collaboration', 'class'): (addandget(), use, atomicintegerarray)""]"
You should check out the JavaDoc for the AtomicIntegerArray class to learn more about those methods.,[]
"The AtomicLong class provides you with a long variable which can be read and written atomically, and which also contains advanced atomic operations like compareAndSet().","[""('class', 'collaboration', 'method'): (atomiclong, provides atomic operations like, compareandset())""]"
You can set the value of an AtomicLong instance via the set() method.,"[""('class', 'collaboration', 'method'): (atomiclong, set method usage, set())""]"
The Java AtomicLongArray class (java.util.concurrent.atomic.AtomicLongArray) represents an array of long .,[]
You can get the value of a given element using the get() method on the AtomicLongArray.,"[""('method', 'collaboration', 'class'): (get(), use_method_on, atomiclongarray)""]"
You can set the value of a given element using the set() method on the AtomicLongArray.,"[""('method', 'collaboration', 'class'): (set(), use, atomiclongarray)""]"
"AtomicReference even has an advanced compareAndSet() method which lets you compare the reference to an expected value (reference) and if they are equal, set a new reference inside the AtomicReference object.","[""('class', 'implementation', 'method'): (atomicreference, has method, compareandset())""]"
Notice how it is no longer necessary to cast the referenced returned by get() because the compiler knows it will return a String reference.,[]
"The compareAndSet() method can compare the reference stored in the AtomicReference instance with an expected reference, and if they two references are the same (not equal as in equals() but same as in ==), then a new reference can be set on the AtomicReference instance.","[""('class', 'collaboration', 'method'): (atomicreference, can compare the reference stored in the instance, compareandset())"", ""('method', 'verification', 'method'): (compareandset(), compare the reference stored in the atomicreference instance with expected reference, equals())""]"
If you have a typed AtomicStampedReference then getReference() returns a reference to the type you declared on the AtomicStampedReference variable when you created it.,"[""('class', 'containment', 'method'): (atomicstampedreference, includes, getreference())""]"
The AtomicStampedReference also contains a getStamp() method which can be used to obtain the internally stored stamp.,"[""('class', 'containment', 'method'): (atomicstampedreference, contains, getstamp())""]"
"The compareAndSet() method can compare the reference stored in the AtomicStampedReference instance with an expected reference, and the stored stamp with an expected stamp, and if they two references and stamps are the same (not equal as in equals() but same as in ==), then a new reference can be set on the AtomicStampedReference instance.","[""('method', 'difference', 'method'): (compareandset(), not equal as in, equals())"", ""('method', 'collaboration', 'class'): (compareandset(), method, atomicstampedreference)""]"
"The BlockingDeque interface in the java.util.concurrent class represents a deque which is thread safe to put into, and take instances from.",[]
"The ConcurrentMap has a few extra atomic methods in addition to the methods it inherits from its superinterface, java.util.Map.","[""('interface', 'collaboration', 'interface'): (concurrentmap, has methods in addition to, java.util.map)""]"
"The java.util.concurrent.ConcurrentNavigableMap class is a java.util.NavigableMap with support for concurrent access, and which has concurrent access enabled for its submaps.",[]
"First, the BlockingQueueExample class which starts a Producer and a Consumer in separate threads.","[""('class', 'containment', 'class'): (blockingqueueexample, includes, producer)"", ""('class', 'containment', 'class'): (blockingqueueexample, includes, consumer)""]"
The Java BlockingQueue add() method will add the element passed as parameter to this method if the BlockingQueue has space for it internally.,[]
"If the BlockingQueue does not have space internally for this new element, the add() method throws an IllegalStateException.",[]
The remove() method will use the o.equals(element) to decide if the object o passed as parameter matches a given element in the BlockingQueue.,"[""('method', 'collaboration', 'interface'): (remove(), use, blockingqueue)""]"
"If the BlockingQueue does not contain any elements, the element() method will throw a NoSuchElementException.",[]
The result of that is that the call() method will return a String.,[]
"The Java ExecutorService interface, java.util.concurrent.ExecutorService, represents an asynchronous execution mechanism which is capable of executing tasks concurrently in the background.",[]
"The Java ExecutorService execute(Runnable) method takes a java.lang.Runnable object, and executes it asynchronously.","[""('interface', 'collaboration', 'interface'): (executorservice, uses, java.lang.runnable)""]"
"The invokeAny() method takes a collection of Callable objects, or subinterfaces of Callable.","[""('method', 'collaboration', 'interface'): (invokeany(), takes, callable)""]"
The invokeAll() method invokes all of the Callable objects you pass to it in the collection passed as parameter.,[]
The main difference between the Runnable run() method and the Callable call() method is that the call() method can return an Object from the method call.,"[""('method', 'difference', 'method'): (run(), main difference, call())""]"
"The ExecutorService awaitTermination() method will block the thread calling it until either the ExecutorService has shutdown completely, or until a given time out occurs.",[]
The awaitTermination() method is typically called after calling shutdown() or shutdownNow().,[]
In the following sections I will explain how to use the ReentrantLock class as a Lock.,[]
To unlock the Lock instance you must call its unlock() method.,"[""('class', 'collaboration', 'method'): (lock, call its unlock() method to unlock, unlock())""]"
"To better understand how using a Lock looks different from using a synchronized block, I have created two simple concurrent Counter classes which protects their internal count in different ways.",[]
"Notice how the calculate() method both locks the Calculator instance's Lock before performing any calculations, and also call the add() and subtract() methods which also locks the lock.","[""('method', 'collaboration', 'method'): (calculate(), use, add())"", ""('method', 'collaboration', 'method'): (calculate(), use, subtract())""]"
"If the Lock instance is already locked, the thread calling lock() is blocked until the Lock is unlocked.","[""('class', 'collaboration', 'method'): (lock, blocks, lock())""]"
The Java ReentrantLock getHoldCount() method returns the number of times a given thread has locked this Lock instance.,"[""('class', 'containment', 'method'): (reentrantlock, returns the number of times a given thread has locked, getholdcount())""]"
"The Java CertPath class (java.security.cert.CertPath represents a chain of cryptographic identity certificates (Java Certificate objects), where each certificate is the digital signer of the next certificate in the chain.","[""('class', 'containment', 'class'): (certpath, includes, certpath)""]"
The CertPath getType() method returns a string telling what type of certificates (e.g.,"[""('class', 'collaboration', 'method'): (certpath, use_gettype_method, gettype())""]"
If you want to set a different offset for the dest byte array there is a version of update() and doFinal() which takes an offset parameter extra.,"[""('method', 'collaboration', 'method'): (update(), use, dofinal())""]"
Notice the call to update() and then doFinal() for these two blocks of data.,"[""('method', 'collaboration', 'method'): (update(), use and perform, dofinal())""]"
To generate an asymmetric key pair you can use the KeyPairGenerator (java.security.KeyPairGenerator).,[]
You create a KeyGenerator instance by calling the static method getInstance() passing as parameter the name of the encryption algorithm to create a key for.,"[""('class', 'creation', 'method'): (keygenerator, create by calling, getinstance())""]"
Initializing a KeyGenerator instance is done by calling its init() method.,"[""('class', 'creation', 'method'): (keygenerator, is initialized by, init())""]"
Generating a key is done by calling the KeyGenerator generateKey() method.,"[""('class', 'creation', 'method'): (keygenerator, generating a key, generatekey())""]"
You can access the PublicKey of a KeyPair by calling its getPublic() method.,"[""('method', 'collaboration', 'class'): (getpublic(), use, publickey)"", ""('method', 'collaboration', 'class'): (getpublic(), provision, keypair)""]"
You can access the PrivateKey of a KeyPair by calling the getPrivate() method.,"[""('class', 'collaboration', 'class'): (keypair, calling the getprivate() method, privatekey)""]"
You can create a Java KeyStore instance by calling its getInstance() method.,[]
This Keytool -delete command will remove the KeyStore entry with the alias testkey from the KeyStore stored in the file keystore.jks .,"[""('class', 'containment', 'class'): (keytool, remove entry from, keystore)""]"
"You create a digital signature by calling the update() method one or more times, finishing with a call to sign().","[""('method', 'collaboration', 'method'): (update(), use, sign())""]"
"If you need to read and write the date and time to a database, use the java.sql.Date and java.sql.Timestamp classes.","[""('class', 'collaboration', 'class'): (java.sql.date, use, java.sql.timestamp)""]"
Here is an example of how to create a Duration object using the between() method:,"[""('class', 'creation', 'method'): (duration, create a duration object, between())""]"
Here is an example that shows how to create a LocalDateTime object via the now() method:,"[""('class', 'creation', 'method'): (localdatetime, creation of, now())""]"
The LocalTime class in the Java 8 date time API represents a specific time of day without any time zone information.,[]
The parameter passed to the of() method is the ID of the time zone to create a ZoneId for.,"[""('method', 'creation', 'class'): (of(), time zone to create, zoneid)""]"
"If you need to set a date on a java.sql.PreparedStatement or get a date from a java.sql.ResultSet, you will interact with java.sql.Date.","[""('class', 'collaboration', 'class'): (java.sql.preparedstatement, set a date, java.sql.date)"", ""('class', 'collaboration', 'class'): (java.sql.resultset, get a date, java.sql.date)""]"
One difference in the java.sql.Timestamp from its superclass java.util.Date is its ability to hold the nanoseconds of a date too.,"[""('class', 'difference', 'class'): (java.sql.timestamp, difference in ability to hold nanoseconds, java.util.date)""]"
You can get and set the nanoseconds using the getNanos() and setNanos().,"[""('method', 'collaboration', 'method'): (getnanos(), use_or_provision, setnanos())""]"
The Calendar class has a corresponding set() method so you can set these fields too.,"[""('class', 'modification', 'method'): (calendar, set fields using, set())""]"
"You can access the date and time contained in a java.util.Date instance using the getTime() method, like this:","[""('class', 'collaboration', 'method'): (java.util.date, use, gettime())""]"
You can compare java.util.Date instance because the class implements the java.lang.Comparable interface.,[]
The java.util.TimeZone class is used in conjunction with the java.util.Calendar class.,"[""('class', 'collaboration', 'class'): (java.util.timezone, used in conjunction with, java.util.calendar)""]"
As you can see the readNumberFromUrl() needs to declare throwing both the BadUrlException and the BadNumberException that are thrown from the readDataFromUrl() and converData() methods.,"[""('method', 'dependency', 'class'): (readnumberfromurl(), declares throwing, badurlexception)"", ""('method', 'dependency', 'class'): (readnumberfromurl(), declares throwing, badnumberexception)"", ""('method', 'collaboration', 'method'): (readnumberfromurl(), needs to, readdatafromurl())"", ""('method', 'collaboration', 'method'): (readnumberfromurl(), needs to, converdata())"", ""('method', 'collaboration', 'class'): (readdatafromurl(), throwing, badurlexception)"", ""('method', 'collaboration', 'class'): (readdatafromurl(), throwing, badnumberexception)"", ""('method', 'collaboration', 'class'): (converdata(), throwing, badurlexception)"", ""('method', 'collaboration', 'class'): (converdata(), throwing, badnumberexception)""]"
As you can see the readNumberFromUrl() method now only declares throwing ApplicationException.,"[""('method', 'collaboration', 'class'): (readnumberfromurl(), declares throwing, applicationexception)""]"
"In the example with FileNotFoundException, if you catch IOException which is the superclass of FileNotFoundException, you will also catch FileNotFoundException.","[""('class', 'containment', 'class'): (ioexception, superclass of, filenotfoundexception)""]"
"If the input.close() call fails, and an IOException is thrown, then it is caught, wrapped and rethrown.",[]
The Throwable class has a method named addSuppressed() which takes a Throwable object as parameter.,"[""('class', 'collaboration', 'method'): (throwable, has method named, addsuppressed())""]"
The applyPattern() method simply applies a new pattern to the DecimalFormat instance as if it were created with that pattern.,"[""('method', 'collaboration', 'class'): (applypattern(), applies a new pattern to, decimalformat)""]"
The applyLocalizedPattern() does the same as applyPattern() except it interpretes the characters in the pattern according to the Locale the DecimalFormat was created with.,"[""('method', 'difference', 'method'): (applylocalizedpattern, does the same as, applypattern)"", ""('method', 'collaboration', 'class'): (applylocalizedpattern, interpretes the characters in the pattern according to, locale)"", ""('method', 'dependency', 'class'): (applylocalizedpattern, was created with, decimalformat)""]"
"To sort a collection of strings according to the rules of a certain Locale, you use a java.text.Collator instance created for that specific Locale.","[""('class', 'collaboration', 'class'): (java.text.collator, use, java.util.locale)"", ""('class', 'creation', 'class'): (java.text.collator, created for, java.util.locale)""]"
The factory method Locale.forLanguageTag() can also be used to create a Locale instance.,"[""('method', 'creation', 'class'): (forlanguagetag(), generate_instance, locale)""]"
Finally you can access the localized values in the ResourceBundle via its different getString() and getObject() etc.,"[""('class', 'collaboration', 'method'): (resourcebundle, access, getstring())"", ""('class', 'collaboration', 'method'): (resourcebundle, access, getobject())""]"
For this example to work you should put a standard Java property file named MyBundle.properties in a Java package named i18n.,[]
Once you have created a SimpleDateFormat instance you can format dates using its format() method.,"[""('class', 'collaboration', 'method'): (simpledateformat, use, format())""]"
The Date instance passed to the format() method is a java.util.Date instance.,"[""('method', 'containment', 'class'): (format(), instance passed to, java.util.date)""]"
"The Java SimpleDateFormat class is also capable of formatting a Date object into a StringBuffer, instead of returning an individual String with the date formatted.","[""('class', 'conversion', 'class'): (simpledateformat, formatting, date)"", ""('class', 'conversion', 'class'): (simpledateformat, formatting, stringbuffer)""]"
You can parse a String into a java.util.Date instance using the parse() method of the SimpleDateFormat instance.,"[""('class', 'collaboration', 'method'): (simpledateformat, use, parse())""]"
You can set the time zone of a SimpleDateFormat using its setTimeZone() method.,"[""('class', 'collaboration', 'method'): (simpledateformat, use, settimezone())""]"
"In general you can call the markSupported() method to find out if mark() and reset() are supported on a given InputStream or not, but the BufferedInputStream supports them.","[""('method', 'collaboration', 'class'): (marksupported(), supports_methods, bufferedinputstream)"", ""('class', 'collaboration', 'method'): (bufferedinputstream, supports_methods, mark())"", ""('class', 'collaboration', 'method'): (bufferedinputstream, supports_methods, reset())""]"
"After that, the while loop exits, and the BufferedInputStream close() method is called.","[""('class', 'collaboration', 'method'): (bufferedinputstream, use, close())""]"
"The setSource() method actually returns a reference to the ReusableBufferedInputStream, so you can actually create a ReusableBufferedInputStream and set the source in a single instruction:",[]
To write data to a Java BufferedOutputStream you can use its write() method.,"[""('class', 'collaboration', 'method'): (bufferedoutputstream, use, write())""]"
If you want to make sure that all written data is written to disk without having to close the BufferedOutputStream you can call its flush() method.,"[""('class', 'collaboration', 'method'): (bufferedoutputstream, use or provision of, flush())""]"
"Once the try block is exited, the close() method of the BufferedOutputStream is called automatically, because the BufferedOutputStream was declared inside the parentheses of the try block.","[""('class', 'collaboration', 'method'): (bufferedoutputstream, is closed by, close())""]"
"The Java BufferedReader class is a subclass of the Java Reader class, so you can use a BufferedReader anywhere a Reader is required.","[""('class', 'containment', 'class'): (bufferedreader, subclass of, reader)""]"
"The Java BufferedReader class also has a read() method that takes a char array as parameter, as well as a start offset and length.","[""('class', 'collaboration', 'method'): (bufferedreader, has a read() method, read)""]"
The Java BufferedReader has a special read method named readLine() which reads a full line of text from the BufferedReader's internal buffer.,"[""('class', 'collaboration', 'method'): (bufferedreader, uses_special_method, readline())""]"
The Java BufferedWriter's flush() method flushes all data written to the BufferedWriter to the underlying data destination.,"[""('class', 'collaboration', 'method'): (bufferedwriter, usage of flush() method, flush())""]"
The mark() method of the ByteArrayInputStream class sets an internal mark at the current byte position - meaning right after the previous byte read.,"[""('class', 'collaboration', 'method'): (bytearrayinputstream, sets an internal mark at the current byte position, mark())""]"
"Since the Java ByteArrayOutputStream class is a subclass of the Java OutputStream class, you write bytes to it using the same write methods that OutputStream has:","[""('class', 'containment', 'class'): (bytearrayoutputstream, subclass of, outputstream)"", ""('class', 'collaboration', 'class'): (bytearrayoutputstream, use write methods of, outputstream)""]"
"Once you have finished writing to the ByteArrayOutputStream you can obtain all the bytes written as a Java byte array, using the ByteArrayOutputStream toByteArray() method.","[""('class', 'collaboration', 'method'): (bytearrayoutputstream, use, tobytearray())""]"
You can read a Java float from the DataInputStream using its readFloat() method.,"[""('class', 'collaboration', 'method'): (datainputstream, use method, readfloat())""]"
You can read a Java unsigned short (only positive values) from the DataInputStream using its readUnsignedShort() method.,"[""('class', 'collaboration', 'method'): (datainputstream, uses_method, readunsignedshort())""]"
You can read a Java long from the DataInputStream using its readLong() method.,"[""('class', 'collaboration', 'method'): (datainputstream, use of, readlong())""]"
"To rename (or move) a file, call the method renameTo() on the File class.","[""('class', 'modification', 'method'): (file, rename, renameto)""]"
You can obtain a list of all the files in a directory by calling either the Java File list() method or the listFiles() method.,"[""('method', 'collaboration', 'method'): (list(), use, listfiles())""]"
Here is an example of listing all files in a directory via the Java File list() and listFiles() methods:,"[""('method', 'collaboration', 'method'): (list(), listing files, listfiles())""]"
To write data to a Java FileOutputStream you can use its write() method.,"[""('class', 'collaboration', 'method'): (fileoutputstream, use, write())""]"
Here is an example of writing data to a Java FileOutputStream using its write() method:,"[""('class', 'collaboration', 'method'): (fileoutputstream, writing data, write())""]"
Here is an example of closing a Java FileOutputStream by calling its close() method:,"[""('class', 'collaboration', 'method'): (fileoutputstream, calling its close() method, close())""]"
You can convert a FileOutputStream to a character based Writer using the Java OutputStreamWriter class.,"[""('class', 'conversion', 'class'): (fileoutputstream, convert to, outputstreamwriter)"", ""('class', 'conversion', 'class'): (fileoutputstream, convert to, writer)""]"
The Java FileWriter's flush() method flushes all data written to the FileWriter to the underlying file.,"[""('class', 'collaboration', 'method'): (filewriter, use, flush())""]"
Here is an example of flushing data written to a Java FileWriter by calling its flush() method:,"[""('class', 'collaboration', 'method'): (filewriter, use_method, flush())""]"
Notice how there is no longer any explicit close() method call to the FileWriter instance.,"[""('method', 'collaboration', 'class'): (close(), use, filewriter)""]"
